,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,sepal_ratio_cm,petal_ratio_cm,sepal length (inch),sepal width (inch),petal length (inch),petal width (inch),incoded_species
26,5.0,3.4,1.6,0.4,setosa,0.6799999999999999,0.25,1.9685050000000002,1.3385834,0.6299216000000001,0.15748040000000002,0
27,5.2,3.5,1.5,0.2,setosa,0.673076923076923,0.13333333333333333,2.0472452000000003,1.3779535,0.5905515,0.07874020000000001,0
28,5.2,3.4,1.4,0.2,setosa,0.6538461538461539,0.14285714285714288,2.0472452000000003,1.3385834,0.5511814,0.07874020000000001,0
29,4.7,3.2,1.6,0.2,setosa,0.6808510638297872,0.125,1.8503947000000003,1.2598432000000002,0.6299216000000001,0.07874020000000001,0
30,4.8,3.1,1.6,0.2,setosa,0.6458333333333334,0.125,1.8897648,1.2204731000000002,0.6299216000000001,0.07874020000000001,0
31,5.4,3.4,1.5,0.4,setosa,0.6296296296296295,0.26666666666666666,2.1259854000000002,1.3385834,0.5905515,0.15748040000000002,0
32,5.2,4.1,1.5,0.1,setosa,0.7884615384615383,0.06666666666666667,2.0472452000000003,1.6141741,0.5905515,0.039370100000000005,0
33,5.5,4.2,1.4,0.2,setosa,0.7636363636363637,0.14285714285714288,2.1653555,1.6535442000000002,0.5511814,0.07874020000000001,0
34,4.9,3.1,1.5,0.1,setosa,0.6326530612244897,0.06666666666666667,1.9291349000000002,1.2204731000000002,0.5905515,0.039370100000000005,0
35,5.0,3.2,1.2,0.2,setosa,0.64,0.16666666666666669,1.9685050000000002,1.2598432000000002,0.4724412,0.07874020000000001,0
36,5.5,3.5,1.3,0.2,setosa,0.6363636363636364,0.15384615384615385,2.1653555,1.3779535,0.5118113000000001,0.07874020000000001,0
37,4.9,3.1,1.5,0.1,setosa,0.6326530612244897,0.06666666666666667,1.9291349000000002,1.2204731000000002,0.5905515,0.039370100000000005,0
38,4.4,3.0,1.3,0.2,setosa,0.6818181818181818,0.15384615384615385,1.7322844000000002,1.181103,0.5118113000000001,0.07874020000000001,0
39,5.1,3.4,1.5,0.2,setosa,0.6666666666666667,0.13333333333333333,2.0078751,1.3385834,0.5905515,0.07874020000000001,0
40,5.0,3.5,1.3,0.3,setosa,0.7,0.23076923076923075,1.9685050000000002,1.3779535,0.5118113000000001,0.1181103,0
41,4.5,2.3,1.3,0.3,setosa,0.5111111111111111,0.23076923076923075,1.7716545000000001,0.9055122999999999,0.5118113000000001,0.1181103,0
42,4.4,3.2,1.3,0.2,setosa,0.7272727272727273,0.15384615384615385,1.7322844000000002,1.2598432000000002,0.5118113000000001,0.07874020000000001,0
43,5.0,3.5,1.6,0.6,setosa,0.7,0.37499999999999994,1.9685050000000002,1.3779535,0.6299216000000001,0.2362206,0
44,5.1,3.8,1.9,0.4,setosa,0.7450980392156863,0.2105263157894737,2.0078751,1.4960638,0.7480319,0.15748040000000002,0
45,4.8,3.0,1.4,0.3,setosa,0.625,0.2142857142857143,1.8897648,1.181103,0.5511814,0.1181103,0
46,5.1,3.8,1.6,0.2,setosa,0.7450980392156863,0.125,2.0078751,1.4960638,0.6299216000000001,0.07874020000000001,0
47,4.6,3.2,1.4,0.2,setosa,0.6956521739130436,0.14285714285714288,1.8110245999999999,1.2598432000000002,0.5511814,0.07874020000000001,0
48,5.3,3.7,1.5,0.2,setosa,0.6981132075471699,0.13333333333333333,2.0866153,1.4566937000000002,0.5905515,0.07874020000000001,0
49,5.0,3.3,1.4,0.2,setosa,0.6599999999999999,0.14285714285714288,1.9685050000000002,1.2992133,0.5511814,0.07874020000000001,0
50,7.0,3.2,4.7,1.4,versicolor,0.4571428571428572,0.2978723404255319,2.755907,1.2598432000000002,1.8503947000000003,0.5511814,1
51,6.4,3.2,4.5,1.5,versicolor,0.5,0.3333333333333333,2.5196864000000003,1.2598432000000002,1.7716545000000001,0.5905515,1
52,6.9,3.1,4.9,1.5,versicolor,0.4492753623188406,0.3061224489795918,2.7165369000000004,1.2204731000000002,1.9291349000000002,0.5905515,1
53,5.5,2.3,4.0,1.3,versicolor,0.41818181818181815,0.325,2.1653555,0.9055122999999999,1.574804,0.5118113000000001,1
54,6.5,2.8,4.6,1.5,versicolor,0.43076923076923074,0.32608695652173914,2.5590565,1.1023628,1.8110245999999999,0.5905515,1
55,5.7,2.8,4.5,1.3,versicolor,0.49122807017543857,0.2888888888888889,2.2440957000000004,1.1023628,1.7716545000000001,0.5118113000000001,1
56,6.3,3.3,4.7,1.6,versicolor,0.5238095238095238,0.3404255319148936,2.4803163,1.2992133,1.8503947000000003,0.6299216000000001,1
57,4.9,2.4,3.3,1.0,versicolor,0.48979591836734687,0.30303030303030304,1.9291349000000002,0.9448824,1.2992133,0.393701,1
58,6.6,2.9,4.6,1.3,versicolor,0.4393939393939394,0.28260869565217395,2.5984266,1.1417329,1.8110245999999999,0.5118113000000001,1
59,5.2,2.7,3.9,1.4,versicolor,0.5192307692307693,0.358974358974359,2.0472452000000003,1.0629927000000001,1.5354339000000001,0.5511814,1
60,5.0,2.0,3.5,1.0,versicolor,0.4,0.2857142857142857,1.9685050000000002,0.787402,1.3779535,0.393701,1
61,5.9,3.0,4.2,1.5,versicolor,0.5084745762711864,0.35714285714285715,2.3228359000000003,1.181103,1.6535442000000002,0.5905515,1
62,6.0,2.2,4.0,1.0,versicolor,0.3666666666666667,0.25,2.362206,0.8661422000000001,1.574804,0.393701,1
63,6.1,2.9,4.7,1.4,versicolor,0.4754098360655738,0.2978723404255319,2.4015761,1.1417329,1.8503947000000003,0.5511814,1
64,5.6,2.9,3.6,1.3,versicolor,0.5178571428571429,0.3611111111111111,2.2047256,1.1417329,1.4173236,0.5118113000000001,1
65,6.7,3.1,4.4,1.4,versicolor,0.4626865671641791,0.3181818181818181,2.6377967000000004,1.2204731000000002,1.7322844000000002,0.5511814,1
66,5.6,3.0,4.5,1.5,versicolor,0.5357142857142857,0.3333333333333333,2.2047256,1.181103,1.7716545000000001,0.5905515,1
67,5.8,2.7,4.1,1.0,versicolor,0.4655172413793104,0.24390243902439027,2.2834658,1.0629927000000001,1.6141741,0.393701,1
68,6.2,2.2,4.5,1.5,versicolor,0.3548387096774194,0.3333333333333333,2.4409462000000004,0.8661422000000001,1.7716545000000001,0.5905515,1
69,5.6,2.5,3.9,1.1,versicolor,0.44642857142857145,0.2820512820512821,2.2047256,0.9842525000000001,1.5354339000000001,0.43307110000000004,1
70,5.9,3.2,4.8,1.8,versicolor,0.5423728813559322,0.375,2.3228359000000003,1.2598432000000002,1.8897648,0.7086618,1
71,6.1,2.8,4.0,1.3,versicolor,0.45901639344262296,0.325,2.4015761,1.1023628,1.574804,0.5118113000000001,1
72,6.3,2.5,4.9,1.5,versicolor,0.39682539682539686,0.3061224489795918,2.4803163,0.9842525000000001,1.9291349000000002,0.5905515,1
73,6.1,2.8,4.7,1.2,versicolor,0.45901639344262296,0.2553191489361702,2.4015761,1.1023628,1.8503947000000003,0.4724412,1
74,6.4,2.9,4.3,1.3,versicolor,0.45312499999999994,0.3023255813953489,2.5196864000000003,1.1417329,1.6929143,0.5118113000000001,1
75,6.6,3.0,4.4,1.4,versicolor,0.4545454545454546,0.3181818181818181,2.5984266,1.181103,1.7322844000000002,0.5511814,1
76,6.8,2.8,4.8,1.4,versicolor,0.4117647058823529,0.2916666666666667,2.6771668,1.1023628,1.8897648,0.5511814,1
77,6.7,3.0,5.0,1.7,versicolor,0.44776119402985076,0.33999999999999997,2.6377967000000004,1.181103,1.9685050000000002,0.6692917,1
78,6.0,2.9,4.5,1.5,versicolor,0.48333333333333334,0.3333333333333333,2.362206,1.1417329,1.7716545000000001,0.5905515,1
79,5.7,2.6,3.5,1.0,versicolor,0.45614035087719296,0.2857142857142857,2.2440957000000004,1.0236226000000002,1.3779535,0.393701,1
80,5.5,2.4,3.8,1.1,versicolor,0.43636363636363634,0.2894736842105263,2.1653555,0.9448824,1.4960638,0.43307110000000004,1
81,5.5,2.4,3.7,1.0,versicolor,0.43636363636363634,0.27027027027027023,2.1653555,0.9448824,1.4566937000000002,0.393701,1
82,5.8,2.7,3.9,1.2,versicolor,0.4655172413793104,0.3076923076923077,2.2834658,1.0629927000000001,1.5354339000000001,0.4724412,1
83,6.0,2.7,5.1,1.6,versicolor,0.45,0.3137254901960785,2.362206,1.0629927000000001,2.0078751,0.6299216000000001,1
84,5.4,3.0,4.5,1.5,versicolor,0.5555555555555555,0.3333333333333333,2.1259854000000002,1.181103,1.7716545000000001,0.5905515,1
85,6.0,3.4,4.5,1.6,versicolor,0.5666666666666667,0.35555555555555557,2.362206,1.3385834,1.7716545000000001,0.6299216000000001,1
86,6.7,3.1,4.7,1.5,versicolor,0.4626865671641791,0.3191489361702127,2.6377967000000004,1.2204731000000002,1.8503947000000003,0.5905515,1
87,6.3,2.3,4.4,1.3,versicolor,0.36507936507936506,0.2954545454545454,2.4803163,0.9055122999999999,1.7322844000000002,0.5118113000000001,1
88,5.6,3.0,4.1,1.3,versicolor,0.5357142857142857,0.3170731707317074,2.2047256,1.181103,1.6141741,0.5118113000000001,1
89,5.5,2.5,4.0,1.3,versicolor,0.45454545454545453,0.325,2.1653555,0.9842525000000001,1.574804,0.5118113000000001,1
90,5.5,2.6,4.4,1.2,versicolor,0.4727272727272727,0.2727272727272727,2.1653555,1.0236226000000002,1.7322844000000002,0.4724412,1
91,6.1,3.0,4.6,1.4,versicolor,0.49180327868852464,0.30434782608695654,2.4015761,1.181103,1.8110245999999999,0.5511814,1
92,5.8,2.6,4.0,1.2,versicolor,0.4482758620689655,0.3,2.2834658,1.0236226000000002,1.574804,0.4724412,1
93,5.0,2.3,3.3,1.0,versicolor,0.45999999999999996,0.30303030303030304,1.9685050000000002,0.9055122999999999,1.2992133,0.393701,1
94,5.6,2.7,4.2,1.3,versicolor,0.4821428571428572,0.30952380952380953,2.2047256,1.0629927000000001,1.6535442000000002,0.5118113000000001,1
95,5.7,3.0,4.2,1.2,versicolor,0.5263157894736842,0.2857142857142857,2.2440957000000004,1.181103,1.6535442000000002,0.4724412,1
96,5.7,2.9,4.2,1.3,versicolor,0.5087719298245613,0.30952380952380953,2.2440957000000004,1.1417329,1.6535442000000002,0.5118113000000001,1
97,6.2,2.9,4.3,1.3,versicolor,0.46774193548387094,0.3023255813953489,2.4409462000000004,1.1417329,1.6929143,0.5118113000000001,1
98,5.1,2.5,3.0,1.1,versicolor,0.4901960784313726,0.3666666666666667,2.0078751,0.9842525000000001,1.181103,0.43307110000000004,1
99,5.7,2.8,4.1,1.3,versicolor,0.49122807017543857,0.3170731707317074,2.2440957000000004,1.1023628,1.6141741,0.5118113000000001,1
100,6.3,3.3,6.0,2.5,virginica,0.5238095238095238,0.4166666666666667,2.4803163,1.2992133,2.362206,0.9842525000000001,2
101,5.8,2.7,5.1,1.9,virginica,0.4655172413793104,0.37254901960784315,2.2834658,1.0629927000000001,2.0078751,0.7480319,2
102,7.1,3.0,5.9,2.1,virginica,0.4225352112676057,0.3559322033898305,2.7952771,1.181103,2.3228359000000003,0.8267721000000001,2
103,6.3,2.9,5.6,1.8,virginica,0.4603174603174603,0.32142857142857145,2.4803163,1.1417329,2.2047256,0.7086618,2
104,6.5,3.0,5.8,2.2,virginica,0.46153846153846156,0.37931034482758624,2.5590565,1.181103,2.2834658,0.8661422000000001,2
105,7.6,3.0,6.6,2.1,virginica,0.39473684210526316,0.31818181818181823,2.9921276,1.181103,2.5984266,0.8267721000000001,2
106,4.9,2.5,4.5,1.7,virginica,0.5102040816326531,0.37777777777777777,1.9291349000000002,0.9842525000000001,1.7716545000000001,0.6692917,2
107,7.3,2.9,6.3,1.8,virginica,0.3972602739726027,0.28571428571428575,2.8740173,1.1417329,2.4803163,0.7086618,2
108,6.7,2.5,5.8,1.8,virginica,0.3731343283582089,0.3103448275862069,2.6377967000000004,0.9842525000000001,2.2834658,0.7086618,2
109,7.2,3.6,6.1,2.5,virginica,0.5,0.4098360655737705,2.8346472,1.4173236,2.4015761,0.9842525000000001,2
110,6.5,3.2,5.1,2.0,virginica,0.49230769230769234,0.3921568627450981,2.5590565,1.2598432000000002,2.0078751,0.787402,2
111,6.4,2.7,5.3,1.9,virginica,0.421875,0.3584905660377358,2.5196864000000003,1.0629927000000001,2.0866153,0.7480319,2
112,6.8,3.0,5.5,2.1,virginica,0.4411764705882353,0.38181818181818183,2.6771668,1.181103,2.1653555,0.8267721000000001,2
113,5.7,2.5,5.0,2.0,virginica,0.43859649122807015,0.4,2.2440957000000004,0.9842525000000001,1.9685050000000002,0.787402,2
114,5.8,2.8,5.1,2.4,virginica,0.48275862068965514,0.47058823529411764,2.2834658,1.1023628,2.0078751,0.9448824,2
115,6.4,3.2,5.3,2.3,virginica,0.5,0.43396226415094336,2.5196864000000003,1.2598432000000002,2.0866153,0.9055122999999999,2
116,6.5,3.0,5.5,1.8,virginica,0.46153846153846156,0.32727272727272727,2.5590565,1.181103,2.1653555,0.7086618,2
117,7.7,3.8,6.7,2.2,virginica,0.49350649350649345,0.3283582089552239,3.0314977,1.4960638,2.6377967000000004,0.8661422000000001,2
118,7.7,2.6,6.9,2.3,virginica,0.33766233766233766,0.3333333333333333,3.0314977,1.0236226000000002,2.7165369000000004,0.9055122999999999,2
119,6.0,2.2,5.0,1.5,virginica,0.3666666666666667,0.3,2.362206,0.8661422000000001,1.9685050000000002,0.5905515,2
120,6.9,3.2,5.7,2.3,virginica,0.463768115942029,0.40350877192982454,2.7165369000000004,1.2598432000000002,2.2440957000000004,0.9055122999999999,2
121,5.6,2.8,4.9,2.0,virginica,0.5,0.4081632653061224,2.2047256,1.1023628,1.9291349000000002,0.787402,2
122,7.7,2.8,6.7,2.0,virginica,0.3636363636363636,0.29850746268656714,3.0314977,1.1023628,2.6377967000000004,0.787402,2
123,6.3,2.7,4.9,1.8,virginica,0.4285714285714286,0.36734693877551017,2.4803163,1.0629927000000001,1.9291349000000002,0.7086618,2
124,6.7,3.3,5.7,2.1,virginica,0.4925373134328358,0.3684210526315789,2.6377967000000004,1.2992133,2.2440957000000004,0.8267721000000001,2
125,7.2,3.2,6.0,1.8,virginica,0.4444444444444445,0.3,2.8346472,1.2598432000000002,2.362206,0.7086618,2
126,6.2,2.8,4.8,1.8,virginica,0.4516129032258064,0.375,2.4409462000000004,1.1023628,1.8897648,0.7086618,2
127,6.1,3.0,4.9,1.8,virginica,0.49180327868852464,0.36734693877551017,2.4015761,1.181103,1.9291349000000002,0.7086618,2
128,6.4,2.8,5.6,2.1,virginica,0.43749999999999994,0.37500000000000006,2.5196864000000003,1.1023628,2.2047256,0.8267721000000001,2
129,7.2,3.0,5.8,1.6,virginica,0.41666666666666663,0.27586206896551724,2.8346472,1.181103,2.2834658,0.6299216000000001,2
130,7.4,2.8,6.1,1.9,virginica,0.37837837837837834,0.3114754098360656,2.9133874000000004,1.1023628,2.4015761,0.7480319,2
131,7.9,3.8,6.4,2.0,virginica,0.48101265822784806,0.3125,3.1102379000000004,1.4960638,2.5196864000000003,0.787402,2
132,6.4,2.8,5.6,2.2,virginica,0.43749999999999994,0.3928571428571429,2.5196864000000003,1.1023628,2.2047256,0.8661422000000001,2
133,6.3,2.8,5.1,1.5,virginica,0.4444444444444444,0.29411764705882354,2.4803163,1.1023628,2.0078751,0.5905515,2
134,6.1,2.6,5.6,1.4,virginica,0.42622950819672134,0.25,2.4015761,1.0236226000000002,2.2047256,0.5511814,2
135,7.7,3.0,6.1,2.3,virginica,0.38961038961038963,0.3770491803278688,3.0314977,1.181103,2.4015761,0.9055122999999999,2
136,6.3,3.4,5.6,2.4,virginica,0.5396825396825397,0.4285714285714286,2.4803163,1.3385834,2.2047256,0.9448824,2
137,6.4,3.1,5.5,1.8,virginica,0.484375,0.32727272727272727,2.5196864000000003,1.2204731000000002,2.1653555,0.7086618,2
138,6.0,3.0,4.8,1.8,virginica,0.5,0.375,2.362206,1.181103,1.8897648,0.7086618,2
139,6.9,3.1,5.4,2.1,virginica,0.4492753623188406,0.3888888888888889,2.7165369000000004,1.2204731000000002,2.1259854000000002,0.8267721000000001,2
140,6.7,3.1,5.6,2.4,virginica,0.4626865671641791,0.4285714285714286,2.6377967000000004,1.2204731000000002,2.2047256,0.9448824,2
141,6.9,3.1,5.1,2.3,virginica,0.4492753623188406,0.45098039215686275,2.7165369000000004,1.2204731000000002,2.0078751,0.9055122999999999,2
142,5.8,2.7,5.1,1.9,virginica,0.4655172413793104,0.37254901960784315,2.2834658,1.0629927000000001,2.0078751,0.7480319,2
143,6.8,3.2,5.9,2.3,virginica,0.4705882352941177,0.38983050847457623,2.6771668,1.2598432000000002,2.3228359000000003,0.9055122999999999,2
144,6.7,3.3,5.7,2.5,virginica,0.4925373134328358,0.43859649122807015,2.6377967000000004,1.2992133,2.2440957000000004,0.9842525000000001,2
145,6.7,3.0,5.2,2.3,virginica,0.44776119402985076,0.44230769230769224,2.6377967000000004,1.181103,2.0472452000000003,0.9055122999999999,2
146,6.3,2.5,5.0,1.9,virginica,0.39682539682539686,0.38,2.4803163,0.9842525000000001,1.9685050000000002,0.7480319,2
147,6.5,3.0,5.2,2.0,virginica,0.46153846153846156,0.3846153846153846,2.5590565,1.181103,2.0472452000000003,0.787402,2
148,6.2,3.4,5.4,2.3,virginica,0.5483870967741935,0.4259259259259259,2.4409462000000004,1.3385834,2.1259854000000002,0.9055122999999999,2
149,5.9,3.0,5.1,1.8,virginica,0.5084745762711864,0.35294117647058826,2.3228359000000003,1.181103,2.0078751,0.7086618,2
